,category,character name
133,Time_of_Contempt_characters,Vanadain
134,Time_of_Contempt_characters,Vascoigne
135,Time_of_Contempt_characters,Vattier_de_Rideaux
136,Time_of_Contempt_characters,Vera_Loewenhaupt
137,Time_of_Contempt_characters,Vilgefortz
138,Time_of_Contempt_characters,Vissegerd
139,Time_of_Contempt_characters,Vizimir_II
140,Time_of_Contempt_characters,Vreemde
141,Time_of_Contempt_characters,Vridank
142,Time_of_Contempt_characters,Xarthisius
143,Time_of_Contempt_characters,Yazon_Varda
144,Time_of_Contempt_characters,Yennefer_of_Vengerberg
145,Time_of_Contempt_characters,Zgarba
146,Time_of_Contempt_characters,Zoltan_Chivay
147,Time_of_Contempt_characters,Blood_of_Elves_minor_characters
148,Time_of_Contempt_characters,Abrad_the_Old_Oak
149,Time_of_Contempt_characters,Aelirenn
150,Time_of_Contempt_characters,Agnes_of_Glanville
151,Time_of_Contempt_characters,Anna_Tiller
152,Time_of_Contempt_characters,Ans%C3%A9is
153,Time_of_Contempt_characters,Artaud_Terranova
154,Time_of_Contempt_characters,Axel_Esparza
155,Time_of_Contempt_characters,Boatbug
156,Time_of_Contempt_characters,Boratek
157,Time_of_Contempt_characters,Bronibor
158,Time_of_Contempt_characters,Cahir_Mawr_Dyffryn_aep_Ceallach
159,Time_of_Contempt_characters,Calanthe
160,Time_of_Contempt_characters,Carduin
161,Time_of_Contempt_characters,Carla_Demetia_Crest
162,Time_of_Contempt_characters,Ciri
163,Time_of_Contempt_characters,Co%C3%ABn
164,Time_of_Contempt_characters,Crach_an_Craite
165,Time_of_Contempt_characters,Dandelion
166,Time_of_Contempt_characters,Demavend_III
167,Time_of_Contempt_characters,Dezmod
168,Time_of_Contempt_characters,Donimir_of_Troy
169,Time_of_Contempt_characters,Duke_de_Ruyter
170,Time_of_Contempt_characters,Edmund_Bumbler
171,Time_of_Contempt_characters,Eist_Tuirseach
172,Time_of_Contempt_characters,Ekkehard_of_Sodden
173,Time_of_Contempt_characters,Emhyr_var_Emreis
174,Time_of_Contempt_characters,Ervyll
175,Time_of_Contempt_characters,Eskel
176,Time_of_Contempt_characters,Essi_Daven
177,Time_of_Contempt_characters,Esterad_Thyssen
178,Time_of_Contempt_characters,Ethain
179,Time_of_Contempt_characters,Eurneid
180,Time_of_Contempt_characters,Everett
181,Time_of_Contempt_characters,Fercart
182,Time_of_Contempt_characters,Flavius_Michelet
183,Time_of_Contempt_characters,Foltest
184,Time_of_Contempt_characters,Francesca_Findabair
185,Time_of_Contempt_characters,Geoffrey_Monck
186,Time_of_Contempt_characters,Geralt_of_Rivia
187,Time_of_Contempt_characters,Gerhart_of_Aelle
188,Time_of_Contempt_characters,Giambattista
189,Time_of_Contempt_characters,Griffin_of_Temeria
190,Time_of_Contempt_characters,Gruzila
191,Time_of_Contempt_characters,Henselt
192,Time_of_Contempt_characters,Herbert_Stammelford
193,Time_of_Contempt_characters,Hereward
194,Time_of_Contempt_characters,Hrosvitha
195,Time_of_Contempt_characters,Iola
196,Time_of_Contempt_characters,Iola_the_Second
197,Time_of_Contempt_characters,Ironware
198,Time_of_Contempt_characters,Ithlinne
199,Time_of_Contempt_characters,Ivo_Richert
200,Time_of_Contempt_characters,Jan_Bekker
201,Time_of_Contempt_characters,Jarre
202,Time_of_Contempt_characters,Katje
203,Time_of_Contempt_characters,Keira_Metz
204,Time_of_Contempt_characters,Kistrin
205,Time_of_Contempt_characters,Lambert
206,Time_of_Contempt_characters,Linus_Pitt
207,Time_of_Contempt_characters,Lodovico_Michelet
208,Time_of_Contempt_characters,Lucas_Corto
209,Time_of_Contempt_characters,Lydia_van_Bredevoort
210,Time_of_Contempt_characters,Lytta_Neyd
211,Time_of_Contempt_characters,Mama_Lantieri
212,Time_of_Contempt_characters,Maria_Louisa_La_Valette
213,Time_of_Contempt_characters,Marquis_La_Creahme
214,Time_of_Contempt_characters,Medell
215,Time_of_Contempt_characters,Menno_Coehoorn
216,Time_of_Contempt_characters,Meve
217,Time_of_Contempt_characters,Michelet_brothers
218,Time_of_Contempt_characters,Milan_Raupenneck
219,Time_of_Contempt_characters,Myhrman
220,Time_of_Contempt_characters,Myrrha
221,Time_of_Contempt_characters,Nenneke
222,Time_of_Contempt_characters,Nicodemus_de_Boot
223,Time_of_Contempt_characters,Niedamir
224,Time_of_Contempt_characters,Old_Baron_La_Valette
225,Time_of_Contempt_characters,Olsen
226,Time_of_Contempt_characters,Ori_Reuven
227,Time_of_Contempt_characters,Paulie_Dahlberg
228,Time_of_Contempt_characters,Pavetta
